Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1604038621,192.168.1.191,60425,50.16.136.120,443,6,176,147,2,1,1604038621590;1604038621679;1604038621679;,124;147;52;,1;2;1;
1604038621,192.168.1.191,60382,54.149.94.178,443,6,160,160,2,2,1604038621641;1604038621692;1604038621692;1604038621692;,108;52;108;52;,1;2;2;1;
1604038621,2605:E000:1C09:4071:D5E1:462B:7656:5C67,55416,2607:F8B0:4007:813::2003,443,17,142,0,1,0,1604038621960;,142;,1;
1604038621,192.168.1.191,60383,40.78.253.3,443,6,52,86,1,1,1604038621968;1604038621968;,86;52;,2;1;
1604038621,192.168.1.191,60381,40.78.253.2,443,6,52,86,1,1,1604038621968;1604038621968;,86;52;,2;1;
1604038621,192.168.1.252,54915,192.168.1.255,54915,17,291,0,1,0,1604038621993;,291;,1;
1604038622,2605:E000:1C09:4071:D5E1:462B:7656:5C67,55416,2607:F8B0:4007:813::2003,443,17,81,332,1,3,1604038622013;1604038622016;1604038622016;1604038622016;,73;186;73;81;,2;2;2;1;
1604038622,192.168.1.46,5353,224.0.0.251,5353,17,73,0,1,0,1604038622403;,73;,1;
1604038622,192.168.1.248,5353,224.0.0.251,5353,17,204,0,1,0,1604038622608;,204;,1;
1604038623,192.168.1.252,54915,192.168.1.255,54915,17,291,0,1,0,1604038623018;,291;,1;
1604038623,192.168.1.191,60381,40.78.253.2,443,6,90,52,1,1,1604038623855;1604038623952;,90;52;,1;2;
1604038623,2605:E000:1C09:4071:D5E1:462B:7656:5C67,55383,2607:F8B0:4007:80C::2003,443,17,3696,1927,6,4,1604038623882;1604038623883;1604038623924;1604038623925;1604038623949;1604038623950;1604038623950;1604038623951;1604038623952;1604038623976;,1378;354;1378;81;403;73;81;1014;788;73;,1;1;2;1;2;2;1;1;1;2;
1604038624,2605:E000:1C09:4071:D5E1:462B:7656:5C67,55383,2607:F8B0:4007:80C::2003,443,17,162,1057,2,4,1604038624005;1604038624005;1604038624005;1604038624005;1604038624005;1604038624005;,822;73;89;73;81;81;,2;2;2;2;1;1;
1604038624,192.168.1.191,60358,54.84.72.55,443,6,52,109,1,1,1604038624101;1604038624101;,109;52;,2;1;
1604038624,192.168.1.191,5353,224.0.0.251,5353,17,209,0,1,0,1604038624341;,209;,1;
1604038624,FE80::14AB:270:45DA:EB2F,5353,FF02::FB,5353,17,229,0,1,0,1604038624342;,229;,1;
1604038624,192.168.1.191,61149,192.30.255.112,443,6,104,128,2,2,1604038624863;1604038624863;1604038624863;1604038624863;,76;52;52;52;,2;2;1;1;
1604038625,FE80::CB:868:E287:7DB0,5353,FF02::FB,5353,17,3598,0,7,0,1604038625066;1604038625068;1604038625170;1604038625578;1604038625682;1604038625685;1604038625685;,380;522;368;474;208;1484;162;,1;1;1;1;1;1;1;
1604038625,192.168.1.21,5353,224.0.0.251,5353,17,3458,0,7,0,1604038625067;1604038625067;1604038625170;1604038625578;1604038625680;1604038625682;1604038625682;,360;502;348;454;188;1464;142;,1;1;1;1;1;1;1;
1604038625,192.168.1.252,54915,192.168.1.255,54915,17,582,0,2,0,1604038625069;1604038625986;,291;291;,1;1;
1604038625,192.168.1.191,5353,192.168.1.21,5353,17,445,0,1,0,1604038625209;,445;,1;
1604038625,192.168.1.191,5353,224.0.0.251,5353,17,209,0,1,0,1604038625345;,209;,1;
1604038625,FE80::14AB:270:45DA:EB2F,5353,FF02::FB,5353,17,229,0,1,0,1604038625345;,229;,1;
1604038625,192.168.1.191,60377,3.80.20.198,443,6,82,0,1,0,1604038625913;,82;,1;
